length,mean_nwidth,stdev_nwidth,mean_ndepth,stdev_ndepth,mean_balanced2,stdev_balanced2,mean_width,stdev_width,mean_depth,stdev_depth,mean_navdepth,stdev_navdepth,mean_avdepth,stdev_avdepth
39,1.0000000000000002,0.020047332327839753,1.0,0.26352897031161548,2.0938471067700117,0.2547064077925521,1.4754162387272358,0.029578159659656274,17.19927536231884,4.5325073263378215,1.0000000000000004,0.22653258454050265,10.136194723151243,2.2961783880412558
40,0.99999999999999978,0.022287251911078349,0.99999999999999989,0.2739070419937788,1.998521329076435,0.26943943445765173,1.4781607305684075,0.032944140567241743,18.209756097560977,4.9877804281111038,0.99999999999999978,0.26829445814622438,10.533414634146345,2.8260567716978038
41,1.0,0.021410018656579669,1.0,0.28137282749323445,1.8106698469477487,0.21537260420227772,1.4723176803410749,0.031522349004514512,18.668032786885245,5.2526771689823066,0.99999999999999989,0.23573471379940977,10.526089564174331,2.4813647108375898
42,1.0,0.017376728040657562,1.0000000000000002,0.2679799661425652,1.7756028914343338,0.23345251703924658,1.4737102237237267,0.025608261768383822,18.517766497461928,4.9623904390257758,0.99999999999999967,0.27354259592534491,10.71899927483684,2.9321028873607586
43,1.0000000000000002,0.022364214825168691,1.0,0.26683321609406546,2.0454406370530291,0.29530095232382769,1.474241950988284,0.032970263696177789,17.961956521739129,4.7928466260374254,1.0000000000000002,0.23713838252511005,10.395601617795752,2.4651961530195017
44,0.99999999999999967,0.016932777921329509,1.0,0.28717354477922008,1.9921725005021198,0.28897472488035253,1.4772921822396945,0.025014660446781023,17.594999999999999,5.0528185203903773,0.99999999999999989,0.25553498131947316,10.358068181818183,2.6468487593467396
45,1.0,0.01774132232753934,1.0,0.27140412763347149,2.0173525248039579,0.4224325257955524,1.4776608554347557,0.026215657527055493,17.773333333333333,4.8237560284722347,0.99999999999999978,0.27684247959159719,10.281481481481483,2.8463508272084224
46,0.99999999999999978,0.019582353912188585,1.0000000000000002,0.23772003246849258,2.073182696387716,0.27042998131187562,1.4827911539951395,0.029036541155395355,19.270588235294117,4.5810048609810678,1.0,0.22003115476582052,11.097826086956522,2.4418674893032906
47,1.0,0.015868326257974043,1.0,0.20493441452279998,2.0099241546634414,0.28087187998233226,1.4713422669042235,0.023347739128383369,19.261194029850746,3.9472815215175125,1.0,0.2061052592315655,10.860273102572245,2.2383594031312506
48,1.0,0.016639768238336284,1.0,0.23699823656007182,1.9853840539692165,0.28317668150328923,1.4722015564899222,0.024497092700110263,19.712418300653596,4.6718083755893902,1.0,0.21026199732403317,10.780092592592592,2.2666437998565332
49,1.0000000000000002,0.016409804821322989,1.0,0.26593554824403243,1.9518503379451384,0.29959730458217959,1.4736149998676091,0.024181734529601377,19.527999999999999,5.1931893861094647,1.0000000000000002,0.27749758066468172,11.230040816326529,3.1163091572962394
50,1.0,0.015652023381563185,1.0000000000000002,0.24597371394311235,2.0146498349120092,0.34210730664862837,1.4738068600695733,0.023068059433717175,21.098039215686274,5.189563062799782,0.99999999999999944,0.23825580067036231,12.14196078431373,2.8928925883748078
51,1.0,0.020361253577821484,1.0000000000000002,0.2104027017654759,2.2414479056447276,0.41452576135249164,1.4717212160622184,0.029966088876102651,18.202531645569621,3.829861837199422,0.99999999999999967,0.19333107443591913,10.497393894266567,2.0294724403556126
52,1.0,0.01567462209985512,1.0,0.33562416360821323,1.7445918192571643,0.24623985425963815,1.4724066895600771,0.023079418436152892,19.778625954198475,6.6381847931975617,0.99999999999999978,0.30603092359934581,11.217410452143278,3.4328744810623624
53,0.99999999999999967,0.015208282400434326,0.99999999999999978,0.25855339909990943,1.9581139008245714,0.33859395449889351,1.4700473808467731,0.022356895709936559,19.870588235294118,5.1376081303499639,1.0000000000000002,0.25090039644376982,11.205771365149833,2.8115324779743363
54,1.0000000000000002,0.016114620111821142,1.0,0.31338860263906287,1.9746466839522401,0.24903178021838213,1.4768232788751141,0.023798446111366525,23.574257425742573,7.3879035929070183,0.99999999999999989,0.33094296369501258,12.679684635130181,4.1962524118680964
55,1.0000000000000002,0.02019862976570657,0.99999999999999978,0.2619100207818148,2.1691155650943124,0.21799601206596469,1.4853410358312347,0.030001853658566186,19.296296296296298,5.0538933639750185,1.0,0.27219683008422318,11.195061728395062,3.0472603150663415
56,1.0,0.013981830896463661,1.0,0.27248603849204989,2.0811022689904086,0.2177168218469982,1.4785547368141063,0.020672902301300183,19.987500000000001,5.4463146943598479,1.0,0.24437297015429005,11.323660714285714,2.7671966017694496
57,1.0000000000000002,0.013294339077591845,1.0000000000000002,0.23417330768157807,1.8086541106182339,0.26672374253810277,1.4738717106167705,0.019594150277809665,19.969999999999999,4.6764409544011132,1.0,0.19796341726098377,11.163508771929823,2.2099663451141955
58,1.0000000000000004,0.018964768158936069,1.0,0.28121282647514684,2.0854414264744916,0.49544335712974524,1.4775949508724757,0.028022245676111047,20.790909090909089,5.8466703104423674,1.0000000000000004,0.25188063427242419,11.499999999999998,2.8966272941328772
59,1.0000000000000004,0.02420151020761583,1.0000000000000002,0.27120805863333369,2.0795034051039329,0.49311757217112245,1.477522805069295,0.035758283248869746,23.377358490566039,6.3401280122018946,0.99999999999999989,0.20084172789100377,11.847137831787654,2.3793996326991125
60,1.0,0.10906763380431227,1.0,0.4858723492903837,1.8295209038431193,0.28061057181344862,1.5622154647746407,0.17038714423547402,18.415384615384614,8.9475261861629107,1.0,0.51737425081000876,11.774102564102563,6.0916174930627669
61,1.0,0.017818157999197979,1.0,0.21512043474233933,2.3317449357133904,0.57801266527473172,1.4926663902959703,0.026596565582386114,18.5,3.979728042733278,0.99999999999999978,0.22346407940119903,10.561234329797495,2.3600565068485362
62,1.0,0.020821140083484072,1.0000000000000002,0.27029552323038097,2.1460617034215259,0.36908357326801028,1.4815672437217235,0.030847919124631411,23.966666666666665,6.4780827067547966,1.0000000000000004,0.15034748950611834,11.950537634408597,1.7967333315817187
63,0.99999999999999978,0.011082987626179104,0.99999999999999978,0.19888451528087706,1.5960211890811973,0.39460724799559049,1.4768913971647355,0.016368369079987118,20.892307692307693,4.1551564884835539,1.0,0.22835822906166092,12.834432234432233,2.9308482160668405
64,0.99999999999999967,0.012299144974499472,1.0,0.20347373019271586,2.1798303680696529,0.30610018090674562,1.4792316841650215,0.018193284934418599,22.705882352941178,4.6200505796699014,0.99999999999999989,0.21590439887380569,11.988051470588236,2.588273046425595
65,0.99999999999999956,0.01509270850491567,1.0,0.26568811735248504,1.9647484797699177,0.36234295556064372,1.4789395736177431,0.022321203880996864,22.955555555555556,6.0990183383359353,1.0,0.25780315802996517,12.135213675213674,3.1284964088385045
66,0.99999999999999978,0.0087336723030274985,1.0,0.16058223330456387,1.8331835650360655,0.34580374331414748,1.4671110598679857,0.012813267229034378,19.872727272727271,3.1912069273070593,0.99999999999999944,0.18032728103238474,10.721487603305789,1.9333767081265512
67,1.0000000000000004,0.021027502285557685,1.0,0.29040701919713358,1.9529506554189988,0.29802481874731396,1.4993134240544683,0.031526816451072692,20.106666666666666,5.8391171326570328,1.0000000000000002,0.27373691443551851,11.132537313432836,3.0473864140173816
68,1.0,0.018935003549132537,1.0,0.32713704903064939,1.7696798762872128,0.21287806613649163,1.4873006481702566,0.028162043051730874,20.878787878787879,6.8302250540035603,1.0,0.28043191442608073,11.237076648841354,3.1512349171871885
69,1.0,0.008215383071654217,1.0,0.23463847050553721,2.1054313548001868,0.30464710939858186,1.4869941034523433,0.012216226185152069,21.1875,4.9714025938360695,1.0,0.23351246277321475,12.13677536231884,2.8340883049803476
