76303,"(41,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
76303,"(42,)",activates the lights as it 's approaching the crossing .,"[activates/VBZ, the/DT, lights/NNS, as/IN, it/PRP, 's/VBZ, approaching/VBG, the/DT, crossing/VBG, ./.]",(ROOT (S (VP (VBZ activates) (NP (DT the) (NNS lights)) (SBAR (IN as) (S (NP (PRP it)) (VP (VBZ 's) (VP (VBG approaching) (NP (DT the) (VBG crossing))))))) (. .)))
76303,"(43,)","Yes cos most ,o- most of that one barrier , it said on the news that they 're o- automatic .","[Yes/RB, cos/NN, most/RBS, ,o-/JJ, most/JJS, of/IN, that/DT, one/CD, barrier/NN, ,/,, it/PRP, said/VBD, on/IN, the/DT, news/NN, that/IN, they/PRP, 're/VBP, o-/JJ, automatic/JJ, ./.]","(ROOT (S (S (ADVP (RB Yes)) (NP (NP (NP (NP (NN cos)) (ADJP (RBS most) (JJ ,o-))) (NP (JJS most))) (PP (IN of) (NP (DT that) (CD one) (NN barrier))))) (, ,) (NP (PRP it)) (VP (VBD said) (PP (IN on) (NP (DT the) (NN news))) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP 're) (ADJP (JJ o-) (JJ automatic)))))) (. .)))"
76303,"(44,)",That 's right .,"[That/DT, 's/VBZ, right/NN, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NN right))) (. .)))
76303,"(45,)",So,[So/RB],(ROOT (ADVP (RB So)))
76303,"(46, 47)",They have er special cameras which  they take the line of the trains both sides .,"[They/PRP, have/VBP, er/NN, special/JJ, cameras/NNS, which/WDT, they/PRP, take/VBP, the/DT, line/NN, of/IN, the/DT, trains/NNS, both/DT, sides/NNS, ./.]",(ROOT (S (NP (PRP They)) (VP (VBP have) (NP (NP (NN er) (JJ special) (NNS cameras)) (SBAR (WHNP (WDT which)) (S (NP (PRP they)) (VP (VBP take) (NP (NP (DT the) (NN line)) (PP (IN of) (NP (DT the) (NNS trains)))) (NP (DT both) (NNS sides))))))) (. .)))
76303,"(48,)",Mhm .,"[Mhm/NNP, ./.]",(ROOT (FRAG (NP (NNP Mhm)) (. .)))
76303,"(49, 50)","And the barriers drop , so if you try and go through when the lights are flashing or if you try and go round the barriers  the chances are the train 's getting nearer and nearer and could hit you .","[And/CC, the/DT, barriers/NNS, drop/NN, ,/,, so/RB, if/IN, you/PRP, try/VBP, and/CC, go/VBP, through/IN, when/WRB, the/DT, lights/NNS, are/VBP, flashing/VBG, or/CC, if/IN, you/PRP, try/VBP, and/CC, go/VBP, round/JJ, the/DT, barriers/NNS, the/DT, chances/NNS, are/VBP, the/DT, train/NN, 's/POS, getting/VBG, nearer/IN, and/CC, nearer/IN, and/CC, could/MD, hit/VB, you/PRP, ./.]","(ROOT (S (CC And) (NP (NP (DT the) (NNS barriers) (NN drop)) (, ,) (SBAR (SBAR (RB so) (IN if) (S (NP (PRP you)) (VP (VBP try) (CC and) (VBP go) (PP (IN through) (SBAR (WHADVP (WRB when)) (S (NP (DT the) (NNS lights)) (VP (VBP are) (ADJP (VBG flashing))))))))) (CC or) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP try) (CC and) (VBP go)))))) (VP (JJ round) (NP (NP (DT the) (NNS barriers)) (SBAR (S (NP (DT the) (NNS chances)) (VP (VBP are) (S (NP (DT the) (NN train) (POS 's)) (VP (VP (VBG getting) (PP (IN nearer) (NP (QP (CC and) (IN nearer))))) (CC and) (VP (MD could) (VP (VB hit) (NP (PRP you))))))))))) (. .)))"
76303,"(51,)",So it 's a very silly thing to do .,"[So/IN, it/PRP, 's/VBZ, a/DT, very/RB, silly/JJ, thing/NN, to/TO, do/VB, ./.]",(ROOT (S (IN So) (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (ADJP (RB very) (JJ silly)) (NN thing) (S (VP (TO to) (VP (VB do)))))) (. .)))
76303,"(52,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
76303,"(53,)",Like if it 's one metre away and there 's a car going across .,"[Like/IN, if/IN, it/PRP, 's/VBZ, one/CD, metre/NN, away/RB, and/CC, there/EX, 's/VBZ, a/DT, car/NN, going/VBG, across/IN, ./.]",(ROOT (FRAG (IN Like) (SBAR (IN if) (S (S (NP (PRP it)) (VP (VBZ 's) (ADVP (NP (CD one) (NN metre)) (RB away)))) (CC and) (S (NP (EX there)) (VP (VBZ 's) (NP (NP (DT a) (NN car)) (VP (VBG going) (ADVP (IN across)))))))) (. .)))
76303,"(54,)",Well if you were that close and the lights started you 'd probably get across .,"[Well/RB, if/IN, you/PRP, were/VBD, that/DT, close/JJ, and/CC, the/DT, lights/NNS, started/VBD, you/PRP, 'd/MD, probably/RB, get/VB, across/IN, ./.]",(ROOT (S (SBAR (ADVP (RB Well)) (IN if) (S (NP (PRP you)) (VP (VBD were) (NP (NP (DT that) (JJ close)) (CC and) (NP (DT the) (NNS lights)))))) (VP (VBD started) (SBAR (S (NP (PRP you)) (VP (MD 'd) (ADVP (RB probably)) (VP (VB get) (ADVP (IN across))))))) (. .)))
76303,"(55,)","But if you , like , you know what it 's like when we come","[But/CC, if/IN, you/PRP, ,/,, like/IN, ,/,, you/PRP, know/VBP, what/WP, it/PRP, 's/VBZ, like/IN, when/WRB, we/PRP, come/VBP]","(ROOT (S (CC But) (PP (PP (IN if) (NP (PRP you))) (, ,) (PP (IN like))) (, ,) (NP (PRP you)) (VP (VBP know) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBZ 's) (PP (IN like) (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (VP (VBP come)))))))))))"
