4601,"(23,)",Gwendoline watched eagerly to see what would happen when Mary-Lou opened hers but nothing did happen .,"[Gwendoline/NNP, watched/VBD, eagerly/RB, to/TO, see/VB, what/WP, would/MD, happen/VB, when/WRB, Mary-Lou/NNP, opened/VBD, hers/JJ, but/CC, nothing/NN, did/VBD, happen/VB, ./.]",(ROOT (S (NP (NNP Gwendoline)) (VP (VP (VBD watched) (ADVP (RB eagerly)) (S (VP (TO to) (VP (VB see) (SBAR (WHNP (WP what)) (S (VP (MD would) (VP (VB happen) (SBAR (WHADVP (WRB when)) (S (NP (NNP Mary-Lou)) (VP (VBD opened) (ADJP (JJ hers))))))))))))) (CC but) (VP (ADVP (NN nothing)) (VBD did) (S (VP (VB happen))))) (. .)))
4601,"(24,)","Mary-Lou had neither seen the spider nor disturbed it , she shut her desk .","[Mary-Lou/NNP, had/VBD, neither/DT, seen/VBN, the/DT, spider/NN, nor/CC, disturbed/JJ, it/PRP, ,/,, she/PRP, shut/VBD, her/PRP$, desk/NN, ./.]","(ROOT (S (S (NP (NNP Mary-Lou)) (VP (VP (VBD had) (VP (ADVP (DT neither)) (VBN seen) (NP (DT the) (NN spider)))) (CC nor) (VP (JJ disturbed) (NP (PRP it))))) (, ,) (NP (PRP she)) (VP (VBD shut) (NP (PRP$ her) (NN desk))) (. .)))"
4601,"(25,)",All the girls opened their grammar books at the page Mademoiselle commanded then Mary-Lou found she had her English grammar instead of her French one so she reopened her desk to get the right book .,"[All/PDT, the/DT, girls/NNS, opened/VBD, their/PRP$, grammar/NN, books/NNS, at/IN, the/DT, page/NN, Mademoiselle/NNP, commanded/VBD, then/RB, Mary-Lou/NNP, found/VBD, she/PRP, had/VBD, her/PRP, English/JJ, grammar/NN, instead/RB, of/IN, her/PRP$, French/JJ, one/CD, so/IN, she/PRP, reopened/VBD, her/PRP$, desk/NN, to/TO, get/VB, the/DT, right/JJ, book/NN, ./.]",(ROOT (S (NP (PDT All) (DT the) (NNS girls)) (VP (VBD opened) (NP (PRP$ their) (NN grammar) (NNS books)) (PP (IN at) (NP (NP (DT the) (NN page)) (SBAR (S (NP (NNP Mademoiselle)) (VP (VBD commanded) (ADVP (RB then)) (SBAR (S (NP (NNP Mary-Lou)) (VP (VBD found) (SBAR (S (NP (PRP she)) (VP (VBD had) (NP (PRP her) (JJ English) (NN grammar)) (PP (RB instead) (IN of) (NP (PRP$ her) (JJ French))) (X (NP (CD one)) (SBAR (IN so) (S (NP (PRP she)) (VP (VBD reopened) (NP (PRP$ her) (NN desk) (S (VP (TO to) (VP (VB get) (NP (DT the) (JJ right) (NN book)))))))))))))))))))))) (. .)))
4601,"(26,)",What are you doing Mary-Lou ?,"[What/WP, are/VBP, you/PRP, doing/VBG, Mary-Lou/NNP, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (PRP you)) (VP (VBG doing) (NP (NNP Mary-Lou)))) (. ?)))
4601,"(27,)",Demanded Mademoiselle who hated desks being opened and shut too often .,"[Demanded/VBD, Mademoiselle/NNP, who/WP, hated/VBD, desks/NNS, being/VBG, opened/VBN, and/CC, shut/VBN, too/RB, often/RB, ./.]",(ROOT (S (VP (VBD Demanded) (NP (NP (NNP Mademoiselle)) (SBAR (WHNP (WP who)) (S (VP (VBD hated) (NP (NP (NNS desks)) (VP (VBG being) (VP (VBN opened) (CC and) (VBN shut) (ADVP (RB too) (RB often)))))))))) (. .)))
4601,"(28, 29)",What are you doing ?mm   ?,"[What/WP, are/VBP, you/PRP, doing/VBG, ?mm/NN, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (PRP you)) (VP (VBG doing) (NP (NN ?mm)))) (. ?)))
4601,"(30,)",I got the wrong book out ,"[I/PRP, got/VBD, the/DT, wrong/JJ, book/NN, out/IN]",(ROOT (S (NP (PRP I)) (VP (VBD got) (NP (DT the) (JJ wrong) (NN book)) (ADVP (IN out)))))
4601,"(31,)",Probably .,"[Probably/RB, ./.]",(ROOT (FRAG (ADVP (RB Probably)) (. .)))
4601,"(32,)", Mary-Lou stuffed her English grammar into the back of her desk and pulled out a French one .,"[Mary-Lou/NNP, stuffed/VBD, her/PRP$, English/JJ, grammar/NN, into/IN, the/DT, back/NN, of/IN, her/PRP$, desk/NN, and/CC, pulled/VBD, out/RP, a/DT, French/JJ, one/CD, ./.]",(ROOT (S (NP (NNP Mary-Lou)) (VP (VP (VBD stuffed) (NP (PRP$ her) (JJ English) (NN grammar)) (PP (IN into) (NP (NP (DT the) (NN back)) (PP (IN of) (NP (PRP$ her) (NN desk)))))) (CC and) (VP (VBD pulled) (PRT (RP out)) (NP (DT a) (JJ French) (CD one)))) (. .)))
4601,"(33,)",The spider feeling itself dislodged by the book ran out in a fright .,"[The/DT, spider/NN, feeling/NN, itself/PRP, dislodged/VBN, by/IN, the/DT, book/NN, ran/VBD, out/RP, in/IN, a/DT, fright/NN, ./.]",(ROOT (S (NP (NP (DT The) (NN spider) (NN feeling)) (VP (NP (PRP itself)) (VBN dislodged) (PP (IN by) (NP (DT the) (NN book))))) (VP (VBD ran) (PRT (RP out)) (PP (IN in) (NP (DT a) (NN fright)))) (. .)))
