17102,"(36,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
17102,"(37,)",and then someone scores and the guy goes in straight calmly and scores straight away .,"[and/CC, then/RB, someone/NN, scores/NNS, and/CC, the/DT, guy/NN, goes/VBZ, in/IN, straight/JJ, calmly/RB, and/CC, scores/NNS, straight/RB, away/RB, ./.]",(ROOT (S (CC and) (ADVP (RB then)) (NP (NP (NN someone) (NNS scores)) (CC and) (NP (DT the) (NN guy))) (VP (VBZ goes) (PP (IN in) (UCP (ADJP (JJ straight) (RB calmly)) (CC and) (NP (NP (NNS scores)) (PP (RB straight) (ADVP (RB away))))))) (. .)))
17102,"(38,)",You know it 's people aren 't,"[You/PRP, know/VBP, it/PRP, 's/VBZ, people/NNS, aren/NNP, 't/PRP]",(ROOT (S (NP (PRP You)) (VP (VBP know) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (NNS people)) (NP (NP (NNP aren)) (NP (PRP 't))))))))))
17102,"(39,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
17102,"(40,)","I don 't know , it 's psychologically sort of still got their mind on going through what 's er","[I/PRP, don/VBP, 't/PRP, know/VB, ,/,, it/PRP, 's/VBZ, psychologically/RB, sort/NN, of/IN, still/RB, got/VBD, their/PRP$, mind/NN, on/IN, going/VBG, through/IN, what/WP, 's/VBZ, er/NN]","(ROOT (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB know) (, ,) (S (NP (PRP it)) (VP (VBZ 's) (ADJP (RB psychologically) (SBAR (S (NP (NP (NN sort)) (PP (IN of) (ADVP (RB still)))) (VP (VBD got) (NP (PRP$ their) (NN mind)) (PP (IN on) (S (VP (VBG going) (PP (IN through) (SBAR (WHNP (WP what)) (S (VP (VBZ 's) (NP (NN er))))))))))))))))))))"
17102,"(41,)",On what happened .,"[On/IN, what/WP, happened/VBD, ./.]",(ROOT (SBARQ (WHPP (IN On) (WHNP (WP what))) (SQ (VP (VBD happened))) (. .)))
17102,"(42,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
17102,"(43,)","It 's like at school when they 're thinking oh no , no and they 've scored again .","[It/PRP, 's/VBZ, like/IN, at/IN, school/NN, when/WRB, they/PRP, 're/VBP, thinking/VBG, oh/UH, no/DT, ,/,, no/DT, and/CC, they/PRP, 've/VBP, scored/VBN, again/RB, ./.]","(ROOT (S (S (NP (PRP It)) (VP (VBZ 's) (PP (IN like) (IN at) (NP (NP (NN school)) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG thinking) (NP (INTJ (UH oh)) (NP (DT no))))))))))) (, ,) (ADVP (DT no) (CC and)) (S (NP (PRP they)) (VP (VBP 've) (VP (VBN scored) (ADVP (RB again))))) (. .)))"
17102,"(44,)","It 's like you 've scored , you 're so elated and you  ","[It/PRP, 's/VBZ, like/IN, you/PRP, 've/VBP, scored/VBN, ,/,, you/PRP, 're/VBP, so/RB, elated/JJ, and/CC, you/PRP]","(ROOT (S (NP (PRP It)) (VP (VBZ 's) (SBAR (IN like) (S (S (NP (PRP you)) (VP (VBP 've) (VP (VBN scored)))) (, ,) (S (NP (PRP you)) (VP (VBP 're) (UCP (ADJP (RB so) (JJ elated)) (CC and) (NP (PRP you))))))))))"
17102,"(45,)",Fact you you often sort of watch videos of managers .,"[Fact/NN, you/PRP, you/PRP, often/RB, sort/NN, of/IN, watch/NN, videos/NNS, of/IN, managers/NNS, ./.]",(ROOT (NP (NP (NN Fact)) (NP (NP (PRP you)) (NP (NP (PRP you)) (ADVP (RB often)))) (NP (NP (NN sort)) (PP (IN of) (NP (NP (NN watch) (NNS videos)) (PP (IN of) (NP (NNS managers)))))) (. .)))
17102,"(46, 47)","Managers are often shrieking you know about what 's happening next rather than you know , all their players are jumping with joy all over each other and you think  and they 're saying get in your positions .","[Managers/NNS, are/VBP, often/RB, shrieking/VBG, you/PRP, know/VBP, about/IN, what/WP, 's/VBZ, happening/VBG, next/JJ, rather/RB, than/IN, you/PRP, know/VBP, ,/,, all/DT, their/PRP$, players/NNS, are/VBP, jumping/VBG, with/IN, joy/NNP, all/DT, over/IN, each/DT, other/JJ, and/CC, you/PRP, think/VBP, and/CC, they/PRP, 're/VBP, saying/VBG, get/VB, in/IN, your/PRP$, positions/NNS, ./.]","(ROOT (S (NP (NNS Managers)) (VP (VBP are) (ADVP (RB often)) (VP (VBG shrieking) (SBAR (S (NP (PRP you)) (VP (VBP know) (PP (IN about) (S (S (SBAR (WHNP (WP what)) (S (VP (VBZ 's) (VP (VBG happening) (ADVP (JJ next)) (SBAR (RB rather) (IN than) (S (NP (PRP you)) (VP (VBP know)))))))) (, ,) (NP (DT all) (PRP$ their) (NNS players)) (VP (VBP are) (VP (VBG jumping) (PP (IN with) (NP (NNP joy))) (PP (DT all) (IN over) (NP (DT each) (JJ other)))))) (CC and) (S (NP (PRP you)) (VP (VBP think))) (CC and) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG saying) (S (VP (VB get) (PP (IN in) (NP (PRP$ your) (NNS positions))))))))))))))) (. .)))"
17102,"(48,)",Do your stuff .,"[Do/VB, your/PRP$, stuff/NN, ./.]",(ROOT (S (VP (VB Do) (NP (PRP$ your) (NN stuff))) (. .)))
17102,"(49, 50)","Don 't let it slip straight away , I mean  That was annoying thing is that we didn 't deserve to lose three one really , I mean","[Don/NNP, 't/PRP, let/VB, it/PRP, slip/VB, straight/RB, away/RB, ,/,, I/PRP, mean/VBP, That/DT, was/VBD, annoying/JJ, thing/NN, is/VBZ, that/IN, we/PRP, didn/VBP, 't/PRP, deserve/VB, to/TO, lose/VB, three/CD, one/CD, really/RB, ,/,, I/PRP, mean/VBP]","(ROOT (FRAG (NP (NP (NNP Don)) (SBAR (S (NP (PRP 't)) (VP (VB let) (S (NP (PRP it)) (VP (VB slip) (S (ADVP (RB straight)) (ADVP (RB away)) (, ,) (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (DT That)) (VP (VBD was) (ADJP (JJ annoying) (SBAR (S (NP (NN thing)) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP didn) (S (NP (PRP 't)) (VP (VB deserve) (S (VP (TO to) (VP (VB lose) (NP (CD three) (CD one)) (ADVP (RB really)) (, ,) (SBAR (S (NP (PRP I)) (VP (VBP mean)))))))))))))))))))))))))))))"
