45501,"(58, 59)","And this fucking    Patch , get into the house !","[And/CC, this/DT, fucking/JJ, Patch/NN, ,/,, get/VB, into/IN, the/DT, house/NN, !/.]","(ROOT (S (CC And) (NP (DT this) (JJ fucking) (NN Patch)) (, ,) (VP (VB get) (PP (IN into) (NP (DT the) (NN house)))) (. !)))"
45501,"(60,)",Get in !,"[Get/VB, in/IN, !/.]",(ROOT (S (VP (VB Get) (PP (IN in))) (. !)))
45501,"(61,)",And stay there !,"[And/CC, stay/VB, there/RB, !/.]",(ROOT (FRAG (CC And) (VP (VB stay) (ADVP (RB there))) (. !)))
45501,"(62,)",Sit !,"[Sit/NN, !/.]",(ROOT (INTJ (NN Sit) (. !)))
45501,"(63, 64)",There was a fella shot dead last night  in sp- er Don >  .,"[There/EX, was/VBD, a/DT, fella/NN, shot/NN, dead/JJ, last/JJ, night/NN, in/IN, sp-/JJ, er/NN, Don/NNP, >/JJR, ./.]",(ROOT (S (NP (EX There)) (VP (VBD was) (ADJP (NP (NP (DT a) (NN fella) (NN shot)) (ADJP (JJ dead) (NP (JJ last) (NN night)) (PP (IN in) (NP (JJ sp-) (NN er) (NNP Don))))) (JJR >))) (. .)))
45501,"(65,)",Do you remember the bar we went into that night with Sally  > and Perry ?,"[Do/VB, you/PRP, remember/VB, the/DT, bar/NN, we/PRP, went/VBD, into/IN, that/DT, night/NN, with/IN, Sally/NNP, >/JJR, and/CC, Perry/NNP, ?/.]",(ROOT (SQ (VP (VB Do) (S (NP (PRP you)) (VP (VB remember) (NP (NP (DT the) (NN bar)) (SBAR (S (NP (PRP we)) (VP (VBD went) (PP (IN into) (NP (DT that) (NN night))) (PP (IN with) (NP (NNP Sally))) (NP (NP (JJR >)) (CC and) (NP (NNP Perry)))))))))) (. ?)))
45501,"(66, 67)",Remember the Saturday night over in east  east Belfast ?,"[Remember/VB, the/DT, Saturday/NNP, night/NN, over/IN, in/IN, east/NNP, east/NNP, Belfast/NNP, ?/.]",(ROOT (SQ (VP (VB Remember) (NP (DT the) (NNP Saturday) (NN night)) (PP (IN over) (PP (IN in) (NP (NNP east) (NNP east) (NNP Belfast))))) (. ?)))
45501,"(68,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
45501,"(69, 70, 71, 72, 73, 74, 75)",Erm    and er  and that Audrey    or Aubrey  and    and   nobody knew  well he ran that bar .,"[Erm/NN, and/CC, er/NN, and/CC, that/IN, Audrey/NNP, or/CC, Aubrey/NNP, and/CC, and/CC, nobody/NN, knew/VBD, well/RB, he/PRP, ran/VBD, that/IN, bar/NN, ./.]",(ROOT (S (S (UCP (NP (NP (NN Erm)) (CC and) (NP (NN er))) (CC and) (SBAR (IN that) (S (NP (NP (NNP Audrey) (CC or) (NNP Aubrey)) (CC and) (NP (CC and) (NN nobody))) (VP (VBD knew) (ADVP (RB well))))))) (NP (PRP he)) (VP (VBD ran) (PP (IN that) (NP (NN bar)))) (. .)))
45501,"(76,)",He was the manager of that bar .,"[He/PRP, was/VBD, the/DT, manager/NN, of/IN, that/DT, bar/NN, ./.]",(ROOT (S (NP (PRP He)) (VP (VBD was) (NP (NP (DT the) (NN manager)) (PP (IN of) (NP (DT that) (NN bar))))) (. .)))
