24501,"(52, 53)",So I say it 's a bit bit al- bit silly innit really !,"[So/IN, I/PRP, say/VBP, it/PRP, 's/VBZ, a/DT, bit/NN, bit/NN, al-/JJ, bit/NN, silly/JJ, innit/NN, really/RB, !/.]",(ROOT (S (IN So) (NP (PRP I)) (VP (VBP say) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (ADJP (NN bit) (NN bit)) (JJ al-) (NN bit) (JJ silly) (NN innit)) (ADVP (RB really)))))) (. !)))
24501,"(54, 55, 56, 57, 58, 59)","We enjoyed erm  we enjoyed our walk though  this afternoon  it 's beautiful down Ringstead there 's lo-  , some beautiful , there was a heron and some swans  oh lo-  , hundreds of ducks !","[We/PRP, enjoyed/VBD, erm/NN, we/PRP, enjoyed/VBD, our/PRP$, walk/NN, though/IN, this/DT, afternoon/NN, it/PRP, 's/VBZ, beautiful/JJ, down/IN, Ringstead/NN, there/EX, 's/VBZ, lo-/NN, ,/,, some/DT, beautiful/JJ, ,/,, there/EX, was/VBD, a/DT, heron/NNP, and/CC, some/DT, swans/NNS, oh/UH, lo-/NN, ,/,, hundreds/NNS, of/IN, ducks/NNS, !/.]","(ROOT (S (NP (PRP We)) (VP (VBD enjoyed) (NP (NP (NN erm)) (SBAR (S (NP (PRP we)) (VP (VBD enjoyed) (NP (PRP$ our) (NN walk)) (SBAR (IN though) (S (NP (DT this) (NN afternoon)) (NP (PRP it)) (VP (VBZ 's) (ADJP (JJ beautiful) (PP (IN down) (NP (NN Ringstead)))) (SBAR (S (NP (EX there)) (VP (VBZ 's) (NP (NP (NP (NN lo-)) (, ,) (NP (DT some) (JJ beautiful) (PRN (, ,) (S (NP (EX there)) (VP (VBD was) (NP (NP (DT a) (NNP heron) (CC and) (DT some) (NNS swans)) (FRAG (INTJ (UH oh))))))) (NN lo-))) (, ,) (NP (NP (NNS hundreds)) (PP (IN of) (NP (NNS ducks)))))))))))))))) (. !)))"
24501,"(60,)",And erm,"[And/CC, erm/NN]",(ROOT (FRAG (CC And) (NP (NN erm))))
24501,"(61,)","Down by the river , turn right at canal .","[Down/RB, by/IN, the/DT, river/NN, ,/,, turn/VB, right/RB, at/IN, canal/NN, ./.]","(ROOT (S (PP (ADVP (RB Down)) (IN by) (NP (DT the) (NN river))) (, ,) (VP (VB turn) (ADVP (RB right) (PP (IN at) (NP (NN canal))))) (. .)))"
24501,"(62,)","Yeah , the one that lays near Addington Road","[Yeah/UH, ,/,, the/DT, one/CD, that/WDT, lays/VBZ, near/IN, Addington/NNP, Road/NNP]","(ROOT (X (X (UH Yeah)) (, ,) (X (DT the)) (NP (NP (CD one)) (SBAR (WHNP (WDT that)) (S (VP (VBZ lays) (PP (IN near) (NP (NNP Addington) (NNP Road)))))))))"
24501,"(63,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
24501,"(64,)",You know which one I mean ?,"[You/PRP, know/VBP, which/WDT, one/CD, I/PRP, mean/VB, ?/.]",(ROOT (S (NP (PRP You)) (VP (VBP know) (SBAR (WHNP (WHNP (WDT which)) (NP (CD one))) (S (NP (PRP I)) (VP (VB mean))))) (. ?)))
24501,"(65,)",Aha .,"[Aha/NNP, ./.]",(ROOT (FRAG (NP (NNP Aha)) (. .)))
24501,"(66, 67, 68, 69)","You 've  for part of the walk , you walk right along the Addington Road along  just inside the Addington Road where the bridge is , do you know where the bridge is ?","[You/PRP, 've/VBP, for/IN, part/NN, of/IN, the/DT, walk/NN, ,/,, you/PRP, walk/VBP, right/RB, along/IN, the/DT, Addington/NNP, Road/NN, along/IN, just/RB, inside/IN, the/DT, Addington/NNP, Road/NN, where/WRB, the/DT, bridge/NN, is/VBZ, ,/,, do/VBP, you/PRP, know/VB, where/WRB, the/DT, bridge/NN, is/VBZ, ?/.]","(ROOT (S (S (NP (PRP You)) (VP (VBP 've) (VP (PP (IN for) (NP (NP (NN part)) (PP (IN of) (NP (DT the) (NN walk)))))))) (, ,) (NP (PRP you)) (VP (VBP walk) (PP (RB right) (PP (IN along) (NP (DT the) (NNP Addington) (NN Road))) (CONJP (IN along) (RB just)) (PP (IN inside) (NP (DT the) (NNP Addington) (NN Road)))) (SBAR (WHADVP (WRB where)) (S (NP (DT the) (NN bridge)) (VP (VBZ is) (, ,) (SQ (VBP do) (NP (PRP you)) (VP (VB know) (SBAR (WHADVP (WRB where)) (S (NP (DT the) (NN bridge)) (VP (VBZ is)))))))))) (. ?)))"
24501,"(70,)","Well that 's the canal , that 's the lake where we walk round .","[Well/RB, that/DT, 's/VBZ, the/DT, canal/NN, ,/,, that/DT, 's/VBZ, the/DT, lake/NN, where/WRB, we/PRP, walk/VBP, round/NN, ./.]","(ROOT (S (S (INTJ (RB Well)) (NP (DT that)) (VP (VBZ 's) (NP (DT the) (NN canal)))) (, ,) (NP (DT that)) (VP (VBZ 's) (NP (NP (DT the) (NN lake)) (SBAR (WHADVP (WRB where)) (S (NP (PRP we)) (VP (VBP walk) (NP (NN round))))))) (. .)))"
24501,"(71, 72)","Maureen thoroughly enjoyed it , she said  I said do you come along here on your own ?","[Maureen/NNP, thoroughly/RB, enjoyed/VBD, it/PRP, ,/,, she/PRP, said/VBD, I/PRP, said/VBD, do/VBP, you/PRP, come/VBN, along/IN, here/RB, on/IN, your/PRP$, own/JJ, ?/.]","(ROOT (S (S (NP (NNP Maureen)) (ADVP (RB thoroughly)) (VP (VBD enjoyed) (NP (PRP it)))) (, ,) (NP (PRP she)) (VP (VBD said) (SBAR (S (NP (PRP I)) (VP (VBD said) (SBAR (S (VP (VBP do) (S (NP (PRP you)) (VP (VBN come) (PP (IN along) (NP (RB here))) (PP (IN on) (NP (PRP$ your) (JJ own)))))))))))) (. ?)))"
24501,"(73, 74)","She said , no , no she said I wouldn 't  come on my own and she said there 's , it 's too desolate !","[She/PRP, said/VBD, ,/,, no/DT, ,/,, no/DT, she/PRP, said/VBD, I/PRP, wouldn/VBP, 't/PRP, come/VB, on/IN, my/PRP$, own/JJ, and/CC, she/PRP, said/VBD, there/EX, 's/VBZ, ,/,, it/PRP, 's/VBZ, too/RB, desolate/JJ, !/.]","(ROOT (S (S (NP (PRP She)) (VP (VBD said))) (, ,) (S (ADVP (DT no)) (, ,) (NP (DT no) (PRP she)) (VP (VBD said) (SBAR (S (NP (PRP I)) (VP (VBP wouldn) (S (NP (PRP 't)) (VP (VB come) (PP (IN on) (NP (PRP$ my) (JJ own)))))))))) (CC and) (S (NP (PRP she)) (VP (VBD said) (SBAR (S (NP (EX there)) (VP (VBZ 's) (, ,) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADJP (RB too) (JJ desolate)))))))))) (. !)))"
24501,"(75, 76)",I said well I  I don 't mind a walk .,"[I/PRP, said/VBD, well/RB, I/PRP, I/PRP, don/VBP, 't/PRP, mind/VB, a/DT, walk/NN, ./.]",(ROOT (S (S (NP (PRP I)) (VP (VBD said) (ADVP (RB well)) (NP (PRP I)))) (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB mind) (NP (DT a) (NN walk))))) (. .)))
24501,"(77,)",So who you playing tonight ?,"[So/RB, who/WP, you/PRP, playing/VBG, tonight/NN, ?/.]",(ROOT (SBARQ (RB So) (WHNP (WHNP (WP who)) (NP (PRP you))) (SQ (VP (VBG playing) (NP (NN tonight)))) (. ?)))
24501,"(78,)",Leicester .,"[Leicester/NNP, ./.]",(ROOT (FRAG (NP (NNP Leicester)) (. .)))
