7101,"(35,)",Oh yeah it was nice but I 'd rather not have that in it .,"[Oh/UH, yeah/UH, it/PRP, was/VBD, nice/JJ, but/CC, I/PRP, 'd/MD, rather/RB, not/RB, have/VB, that/DT, in/IN, it/PRP, ./.]",(ROOT (S (S (INTJ (UH Oh) (UH yeah)) (NP (PRP it)) (VP (VBD was) (ADJP (JJ nice)))) (CC but) (S (NP (PRP I)) (VP (MD 'd) (ADVP (RB rather)) (RB not) (VP (VB have) (NP (NP (DT that)) (PP (IN in) (NP (PRP it))))))) (. .)))
7101,"(36,)",Why have we got that and that ?,"[Why/WRB, have/VBP, we/PRP, got/VBD, that/IN, and/CC, that/IN, ?/.]",(ROOT (SBARQ (WHADVP (WRB Why)) (SQ (VBP have) (NP (PRP we)) (VP (VBD got) (ADVP (IN that) (CC and) (IN that)))) (. ?)))
7101,"(37,)",Two ,[Two/CD],(ROOT (FRAG (NP (CD Two))))
7101,"(38,)",It 's not Willie it 's all the time every week you say something about something .,"[It/PRP, 's/VBZ, not/RB, Willie/NNP, it/PRP, 's/VBZ, all/PDT, the/DT, time/NN, every/DT, week/NN, you/PRP, say/VBP, something/NN, about/IN, something/NN, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (RB not) (NP (NP (NNP Willie)) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (NP (PDT all) (DT the) (NN time)) (NP (DT every) (NN week))) (SBAR (S (NP (PRP you)) (VP (VBP say) (NP (NP (NN something)) (PP (IN about) (NP (NN something))))))))))))) (. .)))
7101,"(39,)",You tell me what you 'd like to eat exactly in future and if I feel like doing it I 'll do it .,"[You/PRP, tell/VBP, me/PRP, what/WP, you/PRP, 'd/MD, like/VB, to/TO, eat/VB, exactly/RB, in/IN, future/JJ, and/CC, if/IN, I/PRP, feel/VBP, like/IN, doing/VBG, it/PRP, I/PRP, 'll/MD, do/VB, it/PRP, ./.]",(ROOT (S (NP (PRP You)) (VP (VBP tell) (NP (PRP me)) (SBAR (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (MD 'd) (VP (VB like) (S (VP (TO to) (VP (VB eat) (ADVP (RB exactly)) (PP (IN in) (NP (JJ future)))))))))) (CC and) (SBAR (IN if) (S (NP (PRP I)) (VP (VBP feel) (SBAR (S (PP (IN like) (S (VP (VBG doing) (NP (PRP it))))) (NP (PRP I)) (VP (MD 'll) (VP (VB do) (NP (PRP it))))))))))) (. .)))
7101,"(40,)",And if I don 't feel like doing it you can do something yourself .,"[And/CC, if/IN, I/PRP, don/VBP, 't/PRP, feel/VB, like/IN, doing/VBG, it/PRP, you/PRP, can/MD, do/VB, something/NN, yourself/PRP, ./.]",(ROOT (S (CC And) (SBAR (IN if) (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB feel) (PP (IN like) (S (VP (VBG doing) (NP (PRP it)))))))))) (NP (PRP you)) (VP (MD can) (VP (VB do) (NP (NN something)) (NP (PRP yourself)))) (. .)))
7101,"(41,)",Ah .,"[Ah/NN, ./.]",(ROOT (INTJ (NN Ah) (. .)))
7101,"(42,)",Don 't   It 's our anniversary,"[Don/NNP, 't/PRP, It/PRP, 's/VBZ, our/PRP$, anniversary/NN]",(ROOT (S (NP (NP (NP (NNP Don)) (NP (PRP 't))) (NP (PRP It))) (VP (VBZ 's) (NP (PRP$ our) (NN anniversary)))))
7101,"(43, 44)",Other people seem to  complain about their hangers multiplying whenever I 've   got hangers disappear .,"[Other/JJ, people/NNS, seem/VBP, to/TO, complain/VB, about/IN, their/PRP$, hangers/NNS, multiplying/VBG, whenever/WRB, I/PRP, 've/VBP, got/VBN, hangers/NNS, disappear/VBP, ./.]",(ROOT (S (NP (JJ Other) (NNS people)) (VP (VBP seem) (S (VP (TO to) (VP (VB complain) (PP (IN about) (NP (PRP$ their) (NNS hangers))) (S (VP (VBG multiplying) (SBAR (WHADVP (WRB whenever)) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN got) (SBAR (S (NP (NNS hangers)) (VP (VBP disappear)))))))))))))) (. .)))
7101,"(45,)",I 've never got enough hangers to hand the clothes back up on the cable .,"[I/PRP, 've/VBP, never/RB, got/VBN, enough/RB, hangers/NNS, to/TO, hand/VB, the/DT, clothes/NNS, back/RB, up/RB, on/IN, the/DT, cable/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP 've) (ADVP (RB never)) (VP (VBN got) (NP (RB enough) (NNS hangers) (S (VP (TO to) (VP (VB hand) (NP (DT the) (NNS clothes)) (ADVP (RB back) (RB up)) (PP (IN on) (NP (DT the) (NN cable))))))))) (. .)))
7101,"(46, 47, 48)",I don 't know whether we should bring those plants in tonight because erm they reckon it 's going to become frosty  those ones that we haven 't planted yet  and the hanging baskets .,"[I/PRP, don/VBP, 't/PRP, know/VB, whether/IN, we/PRP, should/MD, bring/VB, those/DT, plants/NNS, in/IN, tonight/NN, because/IN, erm/NN, they/PRP, reckon/VBP, it/PRP, 's/VBZ, going/VBG, to/TO, become/VB, frosty/JJ, those/DT, ones/NNS, that/IN, we/PRP, haven/NN, 't/PRP, planted/VBD, yet/RB, and/CC, the/DT, hanging/VBG, baskets/NNS, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB know) (SBAR (IN whether) (S (NP (PRP we)) (VP (MD should) (VP (VB bring) (NP (NP (DT those) (NNS plants)) (PP (IN in) (NP (NN tonight)))) (PP (IN because) (NP (NP (NN erm)) (SBAR (S (NP (PRP they)) (VP (VBP reckon) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (VP (VBG going) (S (VP (TO to) (VP (VB become) (NP (NP (JJ frosty) (DT those) (NNS ones)) (SBAR (IN that) (S (NP (PRP we)) (VP (NN haven) (SBAR (S (NP (PRP 't)) (VP (VBD planted) (ADVP (RB yet)))))))) (CC and) (NP (DT the) (VBG hanging) (NNS baskets)))))))))))))))))))))) (. .)))
7101,"(49,)",Do you mind ?,"[Do/VB, you/PRP, mind/VB, ?/.]",(ROOT (SQ (VP (VB Do) (S (NP (PRP you)) (VP (VB mind)))) (. ?)))
