15403,"(45,)",This guy fifteen grand turned up for Paul .,"[This/DT, guy/NN, fifteen/CD, grand/NNP, turned/VBD, up/RP, for/IN, Paul/NNP, ./.]",(ROOT (S (NP (NP (DT This)) (NP (NN guy) (CD fifteen) (NNP grand))) (VP (VBD turned) (PRT (RP up)) (PP (IN for) (NP (NNP Paul)))) (. .)))
15403,"(46,)","Oh yeah , yeah .","[Oh/UH, yeah/UH, ,/,, yeah/UH, ./.]","(ROOT (INTJ (INTJ (UH Oh) (UH yeah)) (, ,) (INTJ (UH yeah) (. .))))"
15403,"(47, 48)",Suit comes along  and sits there sipping coffee .,"[Suit/NN, comes/VBZ, along/IN, and/CC, sits/VBZ, there/EX, sipping/VBG, coffee/NN, ./.]",(ROOT (S (NP (NN Suit)) (VP (VP (VBZ comes) (ADVP (IN along))) (CC and) (VP (VBZ sits) (S (NP (EX there)) (VP (VBG sipping) (NP (NN coffee)))))) (. .)))
15403,"(49,)",Takes about three quarters of an hour .,"[Takes/VBZ, about/RB, three/CD, quarters/NNS, of/IN, an/DT, hour/NN, ./.]",(ROOT (S (VP (VBZ Takes) (NP (NP (QP (RB about) (CD three)) (NNS quarters)) (PP (IN of) (NP (DT an) (NN hour))))) (. .)))
15403,"(50, 51)","I , I don 't say that it was like being grilled by the K G B he was  most polite and courteous .","[I/PRP, ,/,, I/PRP, don/VBP, 't/PRP, say/VB, that/IN, it/PRP, was/VBD, like/IN, being/VBG, grilled/JJ, by/IN, the/DT, K/NN, G/NN, B/NN, he/PRP, was/VBD, most/RBS, polite/JJ, and/CC, courteous/JJ, ./.]","(ROOT (S (NP (PRP I)) (, ,) (PRN (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB say) (SBAR (IN that) (S (NP (PRP it)) (VP (VBD was) (PP (IN like) (S (VP (VBG being) (ADJP (JJ grilled) (PP (IN by) (NP (DT the) (NN K) (NN G) (NN B))))))))))))))) (NP (PRP he)) (VP (VBD was) (ADJP (ADJP (RBS most) (JJ polite)) (CC and) (ADJP (JJ courteous)))) (. .)))"
15403,"(52,)",But he was going to find out where Paul  > was .,"[But/CC, he/PRP, was/VBD, going/VBG, to/TO, find/VB, out/RP, where/WRB, Paul/NNP, >/JJR, was/VBD, ./.]",(ROOT (S (CC But) (NP (PRP he)) (VP (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB find) (PRT (RP out)) (SBAR (WHADVP (WRB where)) (S (NP (NP (NNP Paul)) (ADJP (JJR >))) (VP (VBD was))))))))) (. .)))
15403,"(53,)",He was going to find out .,"[He/PRP, was/VBD, going/VBG, to/TO, find/VB, out/RP, ./.]",(ROOT (S (NP (PRP He)) (VP (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB find) (PRT (RP out))))))) (. .)))
15403,"(54,)",How did he get your address then ?,"[How/WRB, did/VBD, he/PRP, get/VB, your/PRP$, address/NN, then/RB, ?/.]",(ROOT (SBARQ (WHADVP (WRB How)) (SQ (VBD did) (NP (PRP he)) (VP (VB get) (NP (PRP$ your) (NN address)) (ADVP (RB then)))) (. ?)))
15403,"(55,)",Mm ?,"[Mm/NN, ?/.]",(ROOT (FRAG (NP (NN Mm)) (. ?)))
15403,"(56,)",How did he get your address ?,"[How/WRB, did/VBD, he/PRP, get/VB, your/PRP$, address/NN, ?/.]",(ROOT (SBARQ (WHADVP (WRB How)) (SQ (VBD did) (NP (PRP he)) (VP (VB get) (NP (PRP$ your) (NN address)))) (. ?)))
