40906,"(25,)",Toshibas do sell well don 't they ?,"[Toshibas/NNS, do/VBP, sell/VB, well/RB, don/NNP, 't/PRP, they/PRP, ?/.]",(ROOT (S (NP (NNS Toshibas)) (VP (VBP do) (S (VP (VB sell) (S (NP (ADVP (RB well))) (VP (NNP don) (S (NP (PRP 't)) (NP (PRP they)))))))) (. ?)))
40906,"(26,)","We could do him a deal couldn 't we with all , all Toshiba   I 'd say how much   Toshibas .","[We/PRP, could/MD, do/VB, him/PRP, a/DT, deal/NN, couldn/NN, 't/PRP, we/PRP, with/IN, all/DT, ,/,, all/DT, Toshiba/NNP, I/PRP, 'd/MD, say/VB, how/WRB, much/JJ, Toshibas/NNS, ./.]","(ROOT (S (NP (PRP We)) (VP (MD could) (VP (VB do) (NP (PRP him)) (NP (NP (DT a) (NN deal) (NN couldn)) (NP (ADJP (NP (PRP 't)) (NP (NP (NP (PRP we)) (PP (IN with) (NP (DT all)))) (, ,) (NP (NP (DT all) (NNP Toshiba)) (SBAR (S (NP (PRP I)) (VP (MD 'd) (VP (VB say) (FRAG (WHADJP (WRB how) (JJ much)))))))))) (NNS Toshibas))))) (. .)))"
40906,"(27,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
40906,"(28,)",Probably get the black stripe  ,"[Probably/RB, get/VB, the/DT, black/JJ, stripe/NN]",(ROOT (S (ADVP (RB Probably)) (VP (VB get) (NP (DT the) (JJ black) (NN stripe)))))
40906,"(29,)",  Yeah    ,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
40906,"(30, 31)",Well those two are  the ones that  ,"[Well/RB, those/DT, two/CD, are/VBP, the/DT, ones/NNS, that/WDT]",(ROOT (FRAG (X (ADVP (RB Well)) (NP (DT those) (CD two))) (VP (VBP are) (NP (NP (DT the) (NNS ones)) (SBAR (WHNP (WDT that)))))))
40906,"(32,)", is it ?,"[is/VBZ, it/PRP, ?/.]",(ROOT (S (VP (VBZ is) (NP (PRP it))) (. ?)))
40906,"(33,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
40906,"(34, 35)","It 's , he 's got some erm  oh what did he have there ?","[It/PRP, 's/VBZ, ,/,, he/PRP, 's/VBZ, got/VBD, some/DT, erm/NN, oh/UH, what/WP, did/VBD, he/PRP, have/VB, there/EX, ?/.]","(ROOT (S (NP (PRP It)) (VP (VBZ 's) (, ,) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (S (S (VP (VBD got) (NP (NP (DT some) (NN erm)) (FRAG (INTJ (UH oh)))))) (SBARQ (WHNP (WP what)) (SQ (VBD did) (NP (PRP he)) (VP (VB have) (NP (EX there)))) (. ?)))))))))"
40906,"(36, 37)",Forgotten what he said now  something else was cheap .,"[Forgotten/VBN, what/WP, he/PRP, said/VBD, now/RB, something/NN, else/RB, was/VBD, cheap/JJ, ./.]",(ROOT (S (S (VP (VBN Forgotten) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBD said) (ADVP (RB now))))))) (NP (NN something) (RB else)) (VP (VBD was) (ADJP (JJ cheap))) (. .)))
