71101,"(33, 34)","we 'll have a talk first and then he 's going to have a walk , a walk round the centre , look at the facilities , and er , then go and do , do the ropes course and then we 're going to head across to  to set up camp and   which is in a field outside the centre","[we/PRP, 'll/MD, have/VB, a/DT, talk/NN, first/JJ, and/CC, then/RB, he/PRP, 's/VBZ, going/VBG, to/TO, have/VB, a/DT, walk/NN, ,/,, a/DT, walk/NN, round/NN, the/DT, centre/NN, ,/,, look/VB, at/IN, the/DT, facilities/NNS, ,/,, and/CC, er/NN, ,/,, then/RB, go/VB, and/CC, do/VB, ,/,, do/VB, the/DT, ropes/NNS, course/NN, and/CC, then/RB, we/PRP, 're/VBP, going/VBG, to/TO, head/VB, across/IN, to/TO, to/TO, set/VB, up/RP, camp/NN, and/CC, which/WDT, is/VBZ, in/IN, a/DT, field/NN, outside/IN, the/DT, centre/NN]","(ROOT (S (NP (PRP we)) (VP (MD 'll) (VP (VB have) (NP (DT a) (NN talk)) (SBAR (SBAR (UCP (NP (JJ first)) (CC and) (ADVP (RB then))) (S (S (NP (PRP he)) (VP (VBZ 's) (VP (VBG going) (S (VP (TO to) (VP (VB have) (S (NP (NP (DT a) (NN walk)) (, ,) (NP (NP (DT a) (NN walk) (NN round)) (NP (DT the) (NN centre))) (, ,)) (VP (VP (VB look) (PP (IN at) (NP (NP (DT the) (NNS facilities)) (, ,) (CC and) (NP (NN er))))) (, ,) (VP (ADVP (RB then)) (VB go) (CC and) (VB do)) (, ,) (VP (VB do) (NP (DT the) (NNS ropes) (NN course))))))))))) (CC and) (S (ADVP (RB then)) (NP (PRP we)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB head) (ADVP (IN across) (PP (TO to))) (S (VP (TO to) (VP (VB set) (PRT (RP up)) (NP (NN camp))))))))))))) (CC and) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (PP (IN in) (NP (NP (DT a) (NN field)) (PP (IN outside) (NP (DT the) (NN centre)))))))))))))"
71101,"(35,)",Why are you camping ?,"[Why/WRB, are/VBP, you/PRP, camping/VBG, ?/.]",(ROOT (SBARQ (WHADVP (WRB Why)) (SQ (VBP are) (NP (PRP you)) (VP (VBG camping))) (. ?)))
71101,"(36,)","To save money for the students , cos we might","[To/TO, save/VB, money/NN, for/IN, the/DT, students/NNS, ,/,, cos/NN, we/PRP, might/MD]","(ROOT (FRAG (S (VP (TO To) (VP (VB save) (NP (NN money)) (PP (IN for) (NP (DT the) (NNS students))) (, ,) (NP (NP (NN cos)) (SBAR (S (NP (PRP we)) (VP (MD might))))))))))"
71101,"(37,)",Well they 'll only complain you know,"[Well/RB, they/PRP, 'll/MD, only/RB, complain/VB, you/PRP, know/VB]",(ROOT (FRAG (ADVP (RB Well)) (NP (NP (PRP they)) (SBAR (S (VP (MD 'll) (ADVP (RB only)) (VP (VB complain) (S (NP (PRP you)) (VP (VB know))))))))))
71101,"(38,)",Pardon ?,"[Pardon/NN, ?/.]",(ROOT (FRAG (NP (NN Pardon)) (. ?)))
71101,"(39,)",they 'll only complain even if you try and save money for them,"[they/PRP, 'll/MD, only/RB, complain/VB, even/RB, if/IN, you/PRP, try/VBP, and/CC, save/VBP, money/NN, for/IN, them/PRP]",(ROOT (S (NP (PRP they)) (VP (MD 'll) (ADVP (RB only)) (VP (VB complain) (SBAR (RB even) (IN if) (S (NP (PRP you)) (VP (VBP try) (CC and) (VBP save) (NP (NN money)) (PP (IN for) (NP (PRP them))))))))))
71101,"(40, 41)",Well  I 'm just tr-,"[Well/RB, I/PRP, 'm/VBP, just/RB, tr-/NN]",(ROOT (FRAG (ADVP (RB Well)) (NP (NP (PRP I)) (SBAR (S (VP (VBP 'm) (ADVP (RB just)) (NP (NN tr-))))))))
71101,"(42,)",I say you don 't have to camp do you ?,"[I/PRP, say/VBP, you/PRP, don/VB, 't/PRP, have/VB, to/TO, camp/NN, do/VBP, you/PRP, ?/.]",(ROOT (SINV (S (NP (PRP I)) (VP (VBP say) (S (NP (PRP you)) (VP (VB don) (NP (PRP 't)) (VP (VB have) (PP (TO to) (NP (NN camp)))))))) (VP (VBP do)) (NP (PRP you)) (. ?)))
71101,"(43,)",Of course I 'll have to camp as well,"[Of/IN, course/NN, I/PRP, 'll/MD, have/VB, to/TO, camp/NN, as/RB, well/RB]",(ROOT (S (PP (IN Of) (NP (NN course))) (NP (PRP I)) (VP (MD 'll) (VP (VB have) (PP (TO to) (NP (NP (NN camp)) (ADVP (RB as) (RB well))))))))
71101,"(44,)","Why , you don 't have to save money , stay in the centre","[Why/WRB, ,/,, you/PRP, don/VBP, 't/PRP, have/VB, to/TO, save/VB, money/NN, ,/,, stay/VB, in/IN, the/DT, centre/NN]","(ROOT (SBAR (WHADVP (WRB Why)) (, ,) (S (NP (PRP you)) (VP (VBP don) (S (NP (PRP 't)) (VP (VP (VB have) (S (VP (TO to) (VP (VB save) (NP (NN money)))))) (, ,) (VP (VB stay) (PP (IN in) (NP (DT the) (NN centre))))))))))"
