18905,"(42,)",Did you ?,"[Did/VBD, you/PRP, ?/.]",(ROOT (S (VP (VBD Did) (NP (PRP you))) (. ?)))
18905,"(43,)",Brian knew .,"[Brian/NNP, knew/VBD, ./.]",(ROOT (S (NP (NNP Brian)) (VP (VBD knew)) (. .)))
18905,"(44,)",It 's the ,"[It/PRP, 's/VBZ, the/DT]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (NP (DT the)))))
18905,"(45, 46)",Oh yeah  definitely .,"[Oh/UH, yeah/UH, definitely/RB, ./.]",(ROOT (S (VP (NP (INTJ (UH Oh) (UH yeah)) (NP (RB definitely)))) (. .)))
18905,"(47,)",Aren 't you tired now ?,"[Aren/NNP, 't/PRP, you/PRP, tired/JJ, now/RB, ?/.]",(ROOT (NP (NP (NNP Aren)) (NP (NP (PRP 't)) (RRC (ADJP (NP (PRP you)) (JJ tired)) (ADVP (RB now)))) (. ?)))
18905,"(48, 49)","No , no jus- just clearing the old eye out .","[No/DT, ,/,, no/DT, jus-/NN, just/RB, clearing/VBG, the/DT, old/JJ, eye/NN, out/IN, ./.]","(ROOT (NP (NP (DT No)) (, ,) (NP (NP (DT no) (NN jus-)) (VP (ADVP (RB just)) (VBG clearing) (NP (DT the) (JJ old) (NN eye)) (ADVP (IN out)))) (. .)))"
18905,"(50, 51)","When I did go to sleep , I went  I don 't remember but it was a long while .","[When/WRB, I/PRP, did/VBD, go/VB, to/TO, sleep/VB, ,/,, I/PRP, went/VBD, I/PRP, don/VBP, 't/PRP, remember/VB, but/CC, it/PRP, was/VBD, a/DT, long/JJ, while/NN, ./.]","(ROOT (S (SBAR (WHADVP (WRB When)) (S (NP (PRP I)) (VP (VBD did) (VP (VB go) (S (VP (TO to) (VP (VB sleep)))))))) (, ,) (NP (PRP I)) (VP (VBD went) (SBAR (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB remember) (SBAR (CC but) (S (NP (PRP it)) (VP (VBD was) (NP (DT a) (JJ long) (NN while))))))))))) (. .)))"
18905,"(52, 53, 54, 55, 56, 57, 58)","Yeah  yeah I went , well eventually but like you say it was long wh- it was a long while before I actually did  get to sleep but  got there eventually     I 'm been to solicitor today Annie .","[Yeah/UH, yeah/UH, I/PRP, went/VBD, ,/,, well/RB, eventually/RB, but/CC, like/IN, you/PRP, say/VBP, it/PRP, was/VBD, long/RB, wh-/JJ, it/PRP, was/VBD, a/DT, long/JJ, while/NN, before/IN, I/PRP, actually/RB, did/VBD, get/VB, to/TO, sleep/VB, but/CC, got/VBD, there/EX, eventually/RB, I/PRP, 'm/VBP, been/VBN, to/TO, solicitor/NN, today/NN, Annie/NNP, ./.]","(ROOT (S (S (INTJ (UH Yeah) (UH yeah)) (NP (PRP I)) (VP (VBD went))) (, ,) (ADVP (RB well)) (S (SBAR (UCP (ADVP (RB eventually)) (CC but) (PP (IN like))) (S (NP (PRP you)) (VP (VBP say) (SBAR (S (NP (PRP it)) (VP (VBD was) (ADJP (RB long) (JJ wh-) (SBAR (S (NP (PRP it)) (VP (VBD was) (NP (DT a) (JJ long) (NN while)) (SBAR (IN before) (S (NP (PRP I)) (ADVP (RB actually)) (VP (VP (VBD did) (VP (VB get) (S (VP (TO to) (VP (VB sleep)))))) (CC but) (VP (VBD got) (S (NP (EX there))))))))))))))))) (ADVP (RB eventually)) (NP (PRP I)) (VP (VBP 'm) (VP (VBN been) (PP (TO to) (NP (NN solicitor) (NN today) (NNP Annie)))))) (. .)))"
18905,"(59, 60, 61)","Got it out the way , just to warn him , there 's no po- point him getting all these  letters about   mortgages , you know they 're who you are or well  can 't do that , can you ?","[Got/VBD, it/PRP, out/RP, the/DT, way/NN, ,/,, just/RB, to/TO, warn/VB, him/PRP, ,/,, there/EX, 's/VBZ, no/DT, po-/NN, point/NN, him/PRP, getting/VBG, all/PDT, these/DT, letters/NNS, about/IN, mortgages/NNS, ,/,, you/PRP, know/VBP, they/PRP, 're/VBP, who/WP, you/PRP, are/VBP, or/CC, well/RB, can/MD, 't/PRP, do/VB, that/DT, ,/,, can/MD, you/PRP, ?/.]","(ROOT (SINV (S (FRAG (VP (VBD Got) (NP (PRP it)) (ADVP (RP out) (NP (DT the) (NN way))) (, ,) (ADVP (RB just)) (S (VP (TO to) (VP (VB warn) (NP (PRP him))))))) (, ,) (S (NP (EX there)) (VP (VBZ 's) (S (NP (DT no) (NN po-) (NN point)) (NP (PRP him)) (S (VP (VBG getting) (NP (PDT all) (DT these) (NNS letters)) (PP (IN about) (NP (NNS mortgages)))))))) (, ,) (S (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (PRP they)) (VP (VBP 're) (SBAR (WHNP (WP who)) (S (NP (PRP you)) (VP (VBP are) (PRN (CC or) (ADJP (RB well) (SBAR (SINV (MD can) (NP (PRP 't)) (VP (VB do) (NP (DT that)))))))))))))))) (, ,) (VP (MD can)) (NP (PRP you)) (. ?)))"
18905,"(62, 63)",No  got any more   Annie ?,"[No/DT, got/VBD, any/DT, more/JJR, Annie/NN, ?/.]",(ROOT (NP (NP (DT No) (VBD got)) (NP (DT any) (JJR more) (NN Annie)) (. ?)))
